업소명,별점,리뷰,가격
세인트존스 호텔,9.2,10290,159495
스카이베이호텔 경포,9.1,6929,163860
정동진 썬크루즈호텔,9.1,3220,176000
강릉 로맨스 인 강문,9.8,68,146800
★당일특가★ 신라모노그램 강릉 레지던스,9.5,102,234382
★당일특가★ SL 호텔 강릉,9.1,2667,65736
라카이 샌드파인,9.3,2558,150000
★당일특가★ 신라모노그램 강릉 호텔,9.7,58,234382
강릉 더원펜션,9.8,487,92000
★당일특가★ 호텔 탑스텐,9.2,1984,155925
강릉 경포 오션힐펜션,9.8,1522,184000
강릉 브라운도트-강릉역점,9.8,943,22500
호텔 하운드 강릉경포,9.6,207,122760
강릉 넘버25-강릉역점,9.8,881,50500
강릉 더강릉오션스테이,9.7,694,127000
강릉 무아풀빌라,9.7,146,238870
경포대 라자 스테이션,9.8,191,45500
강릉 더스테이 은파,9.8,141,88000
강릉 블리스 가족펜션,9.4,465,65500
강릉 경포디슬로펜션,9.9,177,80863
